"Reference_Area","Time_Period","Sex","Age_group","Units_of_measurement","Observation_Value"
"Armenia","2001","Male","15-24 year olds","Percent","99.7523451119289"
"Armenia","2001","All genders","15-24 year olds","Percent","99.8072839773834"
"Armenia","2001","Female","15-24 year olds","Percent","99.8616694172995"
"Armenia","1989","All genders","15-24 year olds","Percent","99.9099626425517"
"Armenia","1989","Male","15-24 year olds","Percent","99.9093670563411"
"Armenia","1989","Female","15-24 year olds","Percent","99.9105717254588"
"Aruba","2010","Female","15-24 year olds","Percent","99.3230972428595"
"Aruba","2010","Male","15-24 year olds","Percent","98.9657301636308"
"Aruba","2010","All genders","15-24 year olds","Percent","99.1384124451536"
"Aruba","2000","All genders","15-24 year olds","Percent","99.0264130532768"
"Aruba","2000","Male","15-24 year olds","Percent","98.8817598533456"
"Aruba","2000","Female","15-24 year olds","Percent","99.1663710535651"
"Azerbaijan","2012","Female","15-24 year olds","Percent","99.9176664314279"
"Azerbaijan","2012","Male","15-24 year olds","Percent","99.955000562493"
"Azerbaijan","2012","All genders","15-24 year olds","Percent","99.9367488931056"
"Azerbaijan","2011","All genders","15-24 year olds","Percent","99.9441028507546"
"Azerbaijan","2011","Male","15-24 year olds","Percent","99.9560294602616"
"Azerbaijan","2011","Female","15-24 year olds","Percent","99.9317639031048"
"Azerbaijan","2010","Female","15-24 year olds","Percent","99.9333333333334"
"Azerbaijan","2010","All genders","15-24 year olds","Percent","99.9505983093644"
"Azerbaijan","2010","Male","15-24 year olds","Percent","99.9674549793882"
"Azerbaijan","2009","All genders","15-24 year olds","Percent","99.9512960658044"
"Azerbaijan","2009","Female","15-24 year olds","Percent","99.9457877046514"
"Azerbaijan","2009","Male","15-24 year olds","Percent","99.9567847882455"
"Azerbaijan","2007","Male","15-24 year olds","Percent","100"
"Azerbaijan","2007","Female","15-24 year olds","Percent","100"
"Azerbaijan","2007","All genders","15-24 year olds","Percent","100"
"Azerbaijan","1999","All genders","15-24 year olds","Percent","99.8860966754467"
"Azerbaijan","1999","Female","15-24 year olds","Percent","99.9014916971573"
"Azerbaijan","1999","Male","15-24 year olds","Percent","99.8703356865005"
"Bahrain","2010","All genders","15-24 year olds","Percent","98.1635960883894"
"Bahrain","2010","Male","15-24 year olds","Percent","98.6199114660186"
"Bahrain","2010","Female","15-24 year olds","Percent","97.5823392833012"
"Bahrain","2001","Female","15-24 year olds","Percent","97.2506106497313"
"Bahrain","2001","All genders","15-24 year olds","Percent","97.0247104951217"
"Bahrain","2001","Male","15-24 year olds","Percent","96.8270792375417"
"Bahrain","1991","Female","15-24 year olds","Percent","96.5787708344084"
"Bahrain","1991","All genders","15-24 year olds","Percent","96.9381052016933"
"Bahrain","1991","Male","15-24 year olds","Percent","97.2586659301201"
"Bahrain","1981","Male","15-24 year olds","Percent","89.6903828548626"
"Bahrain","1981","All genders","15-24 year olds","Percent","86.2930900015598"
"Bahrain","1981","Female","15-24 year olds","Percent","82.0774227374676"
"Bangladesh","2012","Female","15-24 year olds","Percent","81.91162"
"Bangladesh","2012","All genders","15-24 year olds","Percent","79.93943"
"Bangladesh","2012","Male","15-24 year olds","Percent","78.00684"
"Bangladesh","2001","Male","15-24 year olds","Percent","67.1638096638859"
"Bangladesh","2001","Female","15-24 year olds","Percent","60.2562288017816"
"Bangladesh","2001","All genders","15-24 year olds","Percent","63.6227345998245"
"Bangladesh","1991","All genders","15-24 year olds","Percent","44.6808255327405"
"Bangladesh","1991","Male","15-24 year olds","Percent","51.7367348835562"
"Bangladesh","1991","Female","15-24 year olds","Percent","37.9897456070673"
"Bangladesh","1981","Male","15-24 year olds","Percent","44.362159138931"
"Bangladesh","1981","All genders","15-24 year olds","Percent","35.6532472445785"
"Bangladesh","1981","Female","15-24 year olds","Percent","27.1510091199665"
"Belarus","2009","Female","15-24 year olds","Percent","99.8473948438812"
"Belarus","2009","All genders","15-24 year olds","Percent","99.8232134751583"
"Belarus","2009","Male","15-24 year olds","Percent","99.8003266357504"
"Belarus","1999","All genders","15-24 year olds","Percent","99.7918421040349"
"Belarus","1999","Female","15-24 year olds","Percent","99.8282095435515"
"Belarus","1999","Male","15-24 year olds","Percent","99.7568742847801"
"Belarus","1989","Female","15-24 year olds","Percent","99.8005423550431"
"Belarus","1989","Male","15-24 year olds","Percent","99.7319756454825"
"Belarus","1989","All genders","15-24 year olds","Percent","99.7662835330399"
"Belize","1991","All genders","15-24 year olds","Percent","76.4204755907845"
"Belize","1991","Female","15-24 year olds","Percent","76.7019488751953"
"Belize","1991","Male","15-24 year olds","Percent","76.136160581333"
"Benin","2006","Female","15-24 year olds","Percent","30.7865523478319"
"Benin","2006","Male","15-24 year olds","Percent","54.8669386374686"
"Benin","2006","All genders","15-24 year olds","Percent","42.3627038828468"
"Benin","2002","Male","15-24 year olds","Percent","59.205079876297"
"Benin","2002","All genders","15-24 year olds","Percent","45.3096249009998"
"Benin","2002","Female","15-24 year olds","Percent","33.238001821844"
"Benin","1992","Female","15-24 year olds","Percent","26.690291358389"
"Benin","1992","Male","15-24 year olds","Percent","55.1302190988012"
"Benin","1992","All genders","15-24 year olds","Percent","39.8766125202802"
"Benin","1979","Female","15-24 year olds","Percent","18.2551839314549"
"Benin","1979","All genders","15-24 year olds","Percent","29.7867433540293"
"Benin","1979","Male","15-24 year olds","Percent","45.7106432960747"
"Bhutan","2005","All genders","15-24 year olds","Percent","74.4052068830715"
"Bhutan","2005","Female","15-24 year olds","Percent","67.9642610471866"
"Bhutan","2005","Male","15-24 year olds","Percent","80.0419249466293"
"Bolivia","2012","Female","15-24 year olds","Percent","98.8286129794221"
"Bolivia","2012","All genders","15-24 year olds","Percent","98.9958848063634"
"Bolivia","2012","Male","15-24 year olds","Percent","99.1624483468514"
"Bolivia","2011","Female","15-24 year olds","Percent","98.7720190191173"
"Bolivia","2011","All genders","15-24 year olds","Percent","99.0075206061115"
"Bolivia","2011","Male","15-24 year olds","Percent","99.246628844945"
"Bolivia","2009","Male","15-24 year olds","Percent","99.6936409405984"
"Bolivia","2009","All genders","15-24 year olds","Percent","99.3839740151983"
"Bolivia","2009","Female","15-24 year olds","Percent","99.0843005023505"
"Bolivia","2008","Female","15-24 year olds","Percent","98.8794125820479"
"Bolivia","2008","Male","15-24 year olds","Percent","99.3902301024582"
"Bolivia","2008","All genders","15-24 year olds","Percent","99.1224988524788"
"Bolivia","2007","All genders","15-24 year olds","Percent","99.4413579593511"
"Bolivia","2007","Female","15-24 year olds","Percent","99.144579023949"
"Bolivia","2007","Male","15-24 year olds","Percent","99.753609486552"
"Bolivia","2001","Female","15-24 year olds","Percent","96.1146193328146"
"Bolivia","2001","All genders","15-24 year olds","Percent","97.3237803211998"
"Bolivia","2001","Male","15-24 year olds","Percent","98.5492912115118"
"Bolivia","1992","Male","15-24 year olds","Percent","96.3184059398234"
"Bolivia","1992","Female","15-24 year olds","Percent","91.5659807054067"
"Bolivia","1992","All genders","15-24 year olds","Percent","93.8961126233342"
"Bolivia","1976","All genders","15-24 year olds","Percent","83.5519798696302"
"Bolivia","1976","Female","15-24 year olds","Percent","75.8401449259546"
"Bolivia","1976","Male","15-24 year olds","Percent","91.468144168446"
"Bosnia and Herzegovina","2012","Female","15-24 year olds","Percent","99.68727"
"Bosnia and Herzegovina","2012","All genders","15-24 year olds","Percent","99.68309"
"Bosnia and Herzegovina","2012","Male","15-24 year olds","Percent","99.6792"
"Bosnia and Herzegovina","2000","All genders","15-24 year olds","Percent","99.7939303109779"
"Bosnia and Herzegovina","2000","Female","15-24 year olds","Percent","99.8436278342455"
"Bosnia and Herzegovina","2000","Male","15-24 year olds","Percent","99.7482014388489"
"Botswana","2012","Male","15-24 year olds","Percent","94.2046"
"Botswana","2012","Female","15-24 year olds","Percent","97.89585"
"Botswana","2012","All genders","15-24 year olds","Percent","96.0374"
"Botswana","2003","All genders","15-24 year olds","Percent","93.9574410437574"
"Botswana","2003","Male","15-24 year olds","Percent","92.0833054084847"
"Botswana","2003","Female","15-24 year olds","Percent","95.5960193757569"
"Botswana","1991","Female","15-24 year olds","Percent","92.2518763262458"
"Botswana","1991","Male","15-24 year olds","Percent","85.9000678995087"
"Botswana","1991","All genders","15-24 year olds","Percent","89.2582985403906"
"Brazil","2012","All genders","15-24 year olds","Percent","98.6166157645091"
"Brazil","2012","Male","15-24 year olds","Percent","98.2243554086647"
"Brazil","2012","Female","15-24 year olds","Percent","99.0178242432421"
"Brazil","2011","Female","15-24 year olds","Percent","99.0731452390626"
"Brazil","2011","All genders","15-24 year olds","Percent","98.4869176833216"
"Brazil","2011","Male","15-24 year olds","Percent","97.9099947999704"
"Brazil","2010","Female","15-24 year olds","Percent","98.3187371208164"
"Brazil","2010","All genders","15-24 year olds","Percent","97.5141248614649"
"Brazil","2010","Male","15-24 year olds","Percent","96.7161658926165"
"Brazil","2009","Male","15-24 year olds","Percent","97.4457197522826"
"Brazil","2009","All genders","15-24 year olds","Percent","98.0655360192495"
"Brazil","2009","Female","15-24 year olds","Percent","98.6920414176059"
"Brazil","2008","Female","15-24 year olds","Percent","98.5311091344143"
"Brazil","2008","All genders","15-24 year olds","Percent","97.8436297882611"
"Brazil","2008","Male","15-24 year olds","Percent","97.1804635947837"
"Brazil","2007","Female","15-24 year olds","Percent","98.5594284979829"
"Brazil","2007","All genders","15-24 year olds","Percent","97.8006301228708"
"Brazil","2007","Male","15-24 year olds","Percent","97.0568754059935"
"Brazil","2006","Male","15-24 year olds","Percent","96.7970047582952"
"Brazil","2006","Female","15-24 year olds","Percent","98.361658897503"
"Brazil","2006","All genders","15-24 year olds","Percent","97.5822982547526"
"Brazil","2004","All genders","15-24 year olds","Percent","96.8438598946904"
"Brazil","2004","Female","15-24 year olds","Percent","97.9038580657748"
"Brazil","2004","Male","15-24 year olds","Percent","95.783894058578"
"Brazil","2000","Female","15-24 year olds","Percent","95.7190151018145"
"Brazil","2000","All genders","15-24 year olds","Percent","94.1841148804932"
"Brazil","2000","Male","15-24 year olds","Percent","92.6540139686611"
"Brazil","1980","All genders","15-24 year olds","Percent","83.9142675536004"
"Brazil","1980","Male","15-24 year olds","Percent","82.556764268043"
"Brazil","1980","Female","15-24 year olds","Percent","85.236549758348"
"Brunei Darussalam","2012","Male","15-24 year olds","Percent","99.8104"
"Brunei Darussalam","2012","Female","15-24 year olds","Percent","99.74885"
"Brunei Darussalam","2012","All genders","15-24 year olds","Percent","99.78067"
"Brunei Darussalam","2001","All genders","15-24 year olds","Percent","98.893787045751"
"Brunei Darussalam","2001","Male","15-24 year olds","Percent","98.8743028159434"
"Brunei Darussalam","2001","Female","15-24 year olds","Percent","98.9121714854154"
"Brunei Darussalam","1991","Female","15-24 year olds","Percent","98.0837920746313"
"Brunei Darussalam","1991","Male","15-24 year olds","Percent","98.1069042316258"
"Brunei Darussalam","1991","All genders","15-24 year olds","Percent","98.0956662103349"
"Brunei Darussalam","1981","Female","15-24 year olds","Percent","93.2389150235212"
"Brunei Darussalam","1981","Male","15-24 year olds","Percent","94.0643033800495"
"Brunei Darussalam","1981","All genders","15-24 year olds","Percent","93.6810058332752"
"Bulgaria","2011","All genders","15-24 year olds","Percent","97.8650541556247"
"Bulgaria","2011","Male","15-24 year olds","Percent","98.0669285068604"
"Bulgaria","2011","Female","15-24 year olds","Percent","97.6510617657339"
"Bulgaria","2001","Male","15-24 year olds","Percent","98.3096698812471"
"Bulgaria","2001","Female","15-24 year olds","Percent","98.1097690974314"
"Bulgaria","2001","All genders","15-24 year olds","Percent","98.212476519093"
"Burkina Faso","2007","All genders","15-24 year olds","Percent","39.2577801502101"
"Burkina Faso","2007","Female","15-24 year olds","Percent","33.1253248882384"
"Burkina Faso","2007","Male","15-24 year olds","Percent","46.7337418288706"
"Burkina Faso","2006","Male","15-24 year olds","Percent","39.8218655198316"
"Burkina Faso","2006","Female","15-24 year olds","Percent","26.5341235214784"
"Burkina Faso","2006","All genders","15-24 year olds","Percent","32.7306013576315"
"Burkina Faso","2005","All genders","15-24 year olds","Percent","32.9666184248988"
"Burkina Faso","2005","Male","15-24 year olds","Percent","40.3798051637638"
"Burkina Faso","2005","Female","15-24 year olds","Percent","26.4828976506735"
"Burkina Faso","2003","Male","15-24 year olds","Percent","38.381086597337"
"Burkina Faso","2003","Female","15-24 year olds","Percent","24.8113710280203"
"Burkina Faso","2003","All genders","15-24 year olds","Percent","31.2292601620896"
"Burkina Faso","1996","All genders","15-24 year olds","Percent","19.4141516474172"
"Burkina Faso","1996","Female","15-24 year olds","Percent","13.9853426389417"
"Burkina Faso","1996","Male","15-24 year olds","Percent","25.4782620676352"
"Burkina Faso","1991","Male","15-24 year olds","Percent","26.7888010023056"
"Burkina Faso","1991","Female","15-24 year olds","Percent","14.1737455066937"
"Burkina Faso","1991","All genders","15-24 year olds","Percent","20.1802887813644"
"Burkina Faso","1975","Female","15-24 year olds","Percent","6.66405670485453"
"Burkina Faso","1975","All genders","15-24 year olds","Percent","14.3775176233635"
"Burkina Faso","1975","Male","15-24 year olds","Percent","22.3771262501068"
"Burundi","2008","All genders","15-24 year olds","Percent","88.8863668518211"
"Burundi","2008","Female","15-24 year olds","Percent","88.113453762233"
"Burundi","2008","Male","15-24 year olds","Percent","89.5927543210473"
"Burundi","2000","Male","15-24 year olds","Percent","76.7800212539851"
"Burundi","2000","Female","15-24 year olds","Percent","70.365296803653"
"Burundi","2000","All genders","15-24 year olds","Percent","73.3300589390963"
"Burundi","1990","All genders","15-24 year olds","Percent","53.5552060642174"
"Burundi","1990","Male","15-24 year olds","Percent","59.4978411441936"
"Burundi","1990","Female","15-24 year olds","Percent","48.0112617195941"
"Burundi","1979","Female","15-24 year olds","Percent","21.4868604731162"
"Burundi","1979","All genders","15-24 year olds","Percent","30.976585535458"
"Burundi","1979","Male","15-24 year olds","Percent","40.9319922702615"
"Cambodia","2009","Male","15-24 year olds","Percent","88.3561205324401"
"Cambodia","2009","Female","15-24 year olds","Percent","85.8686757194501"
"Cambodia","2009","All genders","15-24 year olds","Percent","87.1324579644856"
"Cambodia","2008","All genders","15-24 year olds","Percent","87.4713774079702"
"Cambodia","2008","Male","15-24 year olds","Percent","89.3836841692258"
"Cambodia","2008","Female","15-24 year olds","Percent","85.5345691676337"
"Cambodia","2004","Female","15-24 year olds","Percent","78.8959984570724"
"Cambodia","2004","Male","15-24 year olds","Percent","87.9201060052429"
"Cambodia","2004","All genders","15-24 year olds","Percent","83.382864745732"
"Cambodia","1998","All genders","15-24 year olds","Percent","76.3182067653486"
"Cambodia","1998","Male","15-24 year olds","Percent","81.8462858326184"
"Cambodia","1998","Female","15-24 year olds","Percent","71.0715933562503"
"Cameroon","2010","Female","15-24 year olds","Percent","76.4209333819085"
"Cameroon","2010","Male","15-24 year olds","Percent","85.3974765339178"
"Cameroon","2010","All genders","15-24 year olds","Percent","80.5744411917711"
"Cameroon","2007","All genders","15-24 year olds","Percent","83.1355732858294"
"Cameroon","2007","Male","15-24 year olds","Percent","89.4173209657414"
"Cameroon","2007","Female","15-24 year olds","Percent","77.4820541137493"
"Cameroon","2000","Female","15-24 year olds","Percent","77.9624893435635"
"Cameroon","2000","Male","15-24 year olds","Percent","88.4224480777729"
"Cameroon","2000","All genders","15-24 year olds","Percent","83.0982859622478"
"Cameroon","1976","All genders","15-24 year olds","Percent","68.8170326812424"
"Cameroon","1976","Male","15-24 year olds","Percent","79.5916488193488"
"Cameroon","1976","Female","15-24 year olds","Percent","59.0631801552877"
"Cape Verde","2012","Male","15-24 year olds","Percent","97.8718935946797"
"Cape Verde","2012","All genders","15-24 year olds","Percent","98.1289669928292"
"Cape Verde","2012","Female","15-24 year olds","Percent","98.3981819181497"
"Cape Verde","2004","Male","15-24 year olds","Percent","96.22623"
"Cape Verde","2004","All genders","15-24 year olds","Percent","97.11496"
"Cape Verde","2004","Female","15-24 year olds","Percent","98.02903"
"Cape Verde","1990","All genders","15-24 year olds","Percent","88.1679046363963"
"Cape Verde","1990","Male","15-24 year olds","Percent","89.9489749705625"
"Cape Verde","1990","Female","15-24 year olds","Percent","86.4150943396226"
"Cayman Islands","2007","Female","15-24 year olds","Percent","98.623326959847"
"Cayman Islands","2007","All genders","15-24 year olds","Percent","98.9068193649141"
"Cayman Islands","2007","Male","15-24 year olds","Percent","99.1423125794155"
"Central African Republic","2010","Male","15-24 year olds","Percent","48.8571003394331"
"Central African Republic","2010","All genders","15-24 year olds","Percent","36.3562698085515"
"Central African Republic","2010","Female","15-24 year olds","Percent","26.9713252114699"
"Central African Republic","2000","Female","15-24 year olds","Percent","49.0193479989398"
"Central African Republic","2000","All genders","15-24 year olds","Percent","60.8070500927644"
"Central African Republic","2000","Male","15-24 year olds","Percent","72.5947521865889"
"Central African Republic","1988","All genders","15-24 year olds","Percent","48.2023291643062"
"Central African Republic","1988","Female","15-24 year olds","Percent","34.8517487595304"
"Central African Republic","1988","Male","15-24 year olds","Percent","62.5614481145788"
"Central African Republic","1975","Male","15-24 year olds","Percent","53.9904309145661"
"Central African Republic","1975","Female","15-24 year olds","Percent","17.9710859847944"
"Central African Republic","1975","All genders","15-24 year olds","Percent","34.5124439577308"
"Chad","2012","Male","15-24 year olds","Percent","53.79584"
"Chad","2012","All genders","15-24 year olds","Percent","48.92033"
"Chad","2012","Female","15-24 year olds","Percent","43.99729"
"Chad","2004","All genders","15-24 year olds","Percent","41.6731216111541"
"Chad","2004","Female","15-24 year olds","Percent","30.7749077490775"
"Chad","2004","Male","15-24 year olds","Percent","53.7082314588427"
"Chad","2000","Female","15-24 year olds","Percent","23.235402578554"
"Chad","2000","Male","15-24 year olds","Percent","55.686195872383"
"Chad","2000","All genders","15-24 year olds","Percent","37.5573531322115"
"Chad","1993","All genders","15-24 year olds","Percent","17.34737806839"
"Chad","1993","Female","15-24 year olds","Percent","8.94583559717473"
"Chad","1993","Male","15-24 year olds","Percent","26.2462260418452"
"Chile","2009","Male","15-24 year olds","Percent","98.8593836077304"
"Chile","2009","All genders","15-24 year olds","Percent","98.8723787615011"
"Chile","2009","Female","15-24 year olds","Percent","98.8900181655131"
"Chile","2008","Male","15-24 year olds","Percent","99.1145198204022"
"Chile","2008","All genders","15-24 year olds","Percent","99.1535795337172"
"Chile","2008","Female","15-24 year olds","Percent","99.1958127557713"
"Chile","2002","Male","15-24 year olds","Percent","98.8036364995868"
"Chile","2002","All genders","15-24 year olds","Percent","98.9909793009512"
"Chile","2002","Female","15-24 year olds","Percent","99.1833364369652"
"Chile","1992","Female","15-24 year olds","Percent","98.7008638308849"
"Chile","1992","All genders","15-24 year olds","Percent","98.4279670452015"
"Chile","1992","Male","15-24 year olds","Percent","98.1564504081787"
"Chile","1982","Male","15-24 year olds","Percent","96.1822230393659"
"Chile","1982","All genders","15-24 year olds","Percent","96.6539842430495"
"Chile","1982","Female","15-24 year olds","Percent","97.1165324680527"
"China","2010","All genders","15-24 year olds","Percent","99.6422902938066"
"China","2010","Male","15-24 year olds","Percent","99.6896191547409"
"China","2010","Female","15-24 year olds","Percent","99.5930386863409"
"China","2000","Male","15-24 year olds","Percent","99.1984600529821"
"China","2000","All genders","15-24 year olds","Percent","98.8587300200933"
"China","2000","Female","15-24 year olds","Percent","98.5048632324267"
"China","1990","All genders","15-24 year olds","Percent","94.2814731782557"
"China","1990","Male","15-24 year olds","Percent","96.9769329466015"
"China","1990","Female","15-24 year olds","Percent","91.4547023787026"
"China","1982","Female","15-24 year olds","Percent","82.0992201442226"
"China","1982","Male","15-24 year olds","Percent","95.2085376229227"
"China","1982","All genders","15-24 year olds","Percent","88.7733363032188"
"Colombia","2011","All genders","15-24 year olds","Percent","98.2393694005665"
"Colombia","2011","Male","15-24 year olds","Percent","97.7604504835065"
"Colombia","2011","Female","15-24 year olds","Percent","98.7243399248394"
"Colombia","2010","Female","15-24 year olds","Percent","98.5171982100477"
"Colombia","2010","Male","15-24 year olds","Percent","97.682720485605"
"Colombia","2010","All genders","15-24 year olds","Percent","98.0984184314786"
"Colombia","2009","Male","15-24 year olds","Percent","97.4411289572542"
"Colombia","2009","All genders","15-24 year olds","Percent","97.9374311574753"
"Colombia","2009","Female","15-24 year olds","Percent","98.4347191904663"
"Colombia","2008","Female","15-24 year olds","Percent","98.4268671587698"
"Colombia","2008","Male","15-24 year olds","Percent","97.546659650602"
"Colombia","2008","All genders","15-24 year olds","Percent","97.9892699017595"
"Colombia","2007","All genders","15-24 year olds","Percent","97.9686280695242"
"Colombia","2007","Male","15-24 year olds","Percent","97.482878026396"
"Colombia","2007","Female","15-24 year olds","Percent","98.4189980638916"
"Colombia","2006","Female","15-24 year olds","Percent","98.1949054526875"
"Colombia","2006","Male","15-24 year olds","Percent","97.5336598672927"
"Colombia","2006","All genders","15-24 year olds","Percent","97.883173011973"
"Colombia","2005","All genders","15-24 year olds","Percent","97.9584021882159"
"Colombia","2005","Male","15-24 year olds","Percent","97.5170252112486"
"Colombia","2005","Female","15-24 year olds","Percent","98.3748674423935"
"Colombia","2004","Male","15-24 year olds","Percent","97.5525244039723"
"Colombia","2004","All genders","15-24 year olds","Percent","97.9913102210156"
"Colombia","2004","Female","15-24 year olds","Percent","98.4106755677968"
"Colombia","1996","All genders","15-24 year olds","Percent","96.9950021264082"
"Colombia","1996","Male","15-24 year olds","Percent","96.3851190077231"
"Colombia","1996","Female","15-24 year olds","Percent","97.5667402737657"
"Colombia","1993","Female","15-24 year olds","Percent","91.8465281189919"
"Colombia","1993","Male","15-24 year olds","Percent","89.3774950933854"
"Colombia","1993","All genders","15-24 year olds","Percent","90.5246512427039"
"Comoros","2012","All genders","15-24 year olds","Percent","86.41433"
"Comoros","2012","Male","15-24 year olds","Percent","86.31325"
"Comoros","2012","Female","15-24 year olds","Percent","86.51807"
"Comoros","2000","Male","15-24 year olds","Percent","83.9513325608343"
"Comoros","2000","All genders","15-24 year olds","Percent","80.1857585139319"
"Comoros","2000","Female","15-24 year olds","Percent","77.5576223210675"
"Comoros","1980","Female","15-24 year olds","Percent","54.8990354590244"
"Comoros","1980","Male","15-24 year olds","Percent","69.3577267419229"
"Comoros","1980","All genders","15-24 year olds","Percent","61.7130173172879"
"Congo","2011","Male","15-24 year olds","Percent","85.683605365757"
"Congo","2011","All genders","15-24 year olds","Percent","80.9139517013211"
"Congo","2011","Female","15-24 year olds","Percent","76.9460778058094"
"Costa Rica","2011","Male","15-24 year olds","Percent","99.0076848282636"
"Costa Rica","2011","All genders","15-24 year olds","Percent","99.1337034239925"
"Costa Rica","2011","Female","15-24 year olds","Percent","99.2581168593857"
"Costa Rica","2000","Female","15-24 year olds","Percent","98.0384088920343"
"Costa Rica","2000","All genders","15-24 year olds","Percent","97.6146958795086"
"Costa Rica","2000","Male","15-24 year olds","Percent","97.1974935177182"
"Costa Rica","1984","Male","15-24 year olds","Percent","96.7545246554194"
"Costa Rica","1984","All genders","15-24 year olds","Percent","97.1481939487286"
"Costa Rica","1984","Female","15-24 year olds","Percent","97.5381293320412"
"Cte dIvoire","2012","All genders","15-24 year olds","Percent","48.3099582381287"
"Cte dIvoire","2012","Male","15-24 year olds","Percent","58.3326280948217"
"Cte dIvoire","2012","Female","15-24 year olds","Percent","38.7500812814896"
"Cte dIvoire","2000","All genders","15-24 year olds","Percent","60.7236544549977"
"Cte dIvoire","2000","Male","15-24 year olds","Percent","70.8407166765111"
"Cte dIvoire","2000","Female","15-24 year olds","Percent","52.1251673360107"
"Cte dIvoire","1998","Female","15-24 year olds","Percent","39.8490945858377"
"Cte dIvoire","1998","Male","15-24 year olds","Percent","54.4031292891158"
"Cte dIvoire","1998","All genders","15-24 year olds","Percent","47.0587129378413"
"Cte dIvoire","1988","Male","15-24 year olds","Percent","59.9322473326818"
"Cte dIvoire","1988","All genders","15-24 year olds","Percent","48.5084766479655"
"Cte dIvoire","1988","Female","15-24 year olds","Percent","37.8459415262168"
"Croatia","2011","Female","15-24 year olds","Percent","99.7357169989736"
"Croatia","2011","Male","15-24 year olds","Percent","99.7120442151463"
"Croatia","2011","All genders","15-24 year olds","Percent","99.7236252928326"
"Croatia","2001","All genders","15-24 year olds","Percent","99.6486415298754"
"Croatia","2001","Male","15-24 year olds","Percent","99.644259794216"
"Croatia","2001","Female","15-24 year olds","Percent","99.6532089170983"
"Croatia","1991","Male","15-24 year olds","Percent","99.6661831379999"
"Croatia","1991","All genders","15-24 year olds","Percent","99.6358922958893"
