"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Australia","2009","Not applicable","Not applicable","Percent","5.09185"
"Australia","2008","Not applicable","Not applicable","Percent","4.63131"
"Australia","2007","Not applicable","Not applicable","Percent","4.65677"
"Australia","2006","Not applicable","Not applicable","Percent","4.74124"
"Australia","2005","Not applicable","Not applicable","Percent","4.9085"
"Australia","2000","Not applicable","Not applicable","Percent","4.89164"
"Australia","1996","Not applicable","Not applicable","Percent","5.22665"
"Australia","1995","Not applicable","Not applicable","Percent","5.12052"
"Australia","1994","Not applicable","Not applicable","Percent","5.24765"
"Australia","1993","Not applicable","Not applicable","Percent","5.50787"
"Australia","1992","Not applicable","Not applicable","Percent","4.68849"
"Australia","1991","Not applicable","Not applicable","Percent","4.7853"
"Australia","1990","Not applicable","Not applicable","Percent","4.65127"
"Australia","1989","Not applicable","Not applicable","Percent","4.72378"
"Australia","1988","Not applicable","Not applicable","Percent","4.90124"
"Australia","1987","Not applicable","Not applicable","Percent","5.05694"
"Australia","1986","Not applicable","Not applicable","Percent","5.27136"
"Australia","1985","Not applicable","Not applicable","Percent","5.39562"
"Australia","1983","Not applicable","Not applicable","Percent","5.36434"
"Australia","1982","Not applicable","Not applicable","Percent","5.47223"
"Australia","1980","Not applicable","Not applicable","Percent","5.64793"
"Australia","1979","Not applicable","Not applicable","Percent","5.89098"
"Australia","1978","Not applicable","Not applicable","Percent","6.00247"
"Austria","2011","Not applicable","Not applicable","Percent","5.79576"
"Austria","2010","Not applicable","Not applicable","Percent","5.915"
"Austria","2009","Not applicable","Not applicable","Percent","5.97537"
"Austria","2008","Not applicable","Not applicable","Percent","5.46908"
"Austria","2007","Not applicable","Not applicable","Percent","5.33394"
"Austria","2006","Not applicable","Not applicable","Percent","5.40388"
"Austria","2005","Not applicable","Not applicable","Percent","5.43841"
"Austria","2004","Not applicable","Not applicable","Percent","5.47503"
"Austria","2003","Not applicable","Not applicable","Percent","5.52547"
"Austria","2002","Not applicable","Not applicable","Percent","5.67754"
"Austria","2001","Not applicable","Not applicable","Percent","5.74009"
"Austria","2000","Not applicable","Not applicable","Percent","5.72641"
"Austria","1999","Not applicable","Not applicable","Percent","6.25296"
"Austria","1998","Not applicable","Not applicable","Percent","6.2448"
"Austria","1996","Not applicable","Not applicable","Percent","5.3176"
"Austria","1995","Not applicable","Not applicable","Percent","5.4847"
"Austria","1993","Not applicable","Not applicable","Percent","5.30652"
"Austria","1992","Not applicable","Not applicable","Percent","5.35197"
"Austria","1991","Not applicable","Not applicable","Percent","5.15619"
"Austria","1990","Not applicable","Not applicable","Percent","5.00871"
"Austria","1989","Not applicable","Not applicable","Percent","5.07027"
"Austria","1988","Not applicable","Not applicable","Percent","5.24462"
"Austria","1987","Not applicable","Not applicable","Percent","5.43192"
"Austria","1986","Not applicable","Not applicable","Percent","5.55705"
"Austria","1985","Not applicable","Not applicable","Percent","5.3522"
"Austria","1984","Not applicable","Not applicable","Percent","5.34943"
"Austria","1983","Not applicable","Not applicable","Percent","5.35884"
"Austria","1982","Not applicable","Not applicable","Percent","5.41866"
"Austria","1981","Not applicable","Not applicable","Percent","5.42354"
"Austria","1980","Not applicable","Not applicable","Percent","5.06097"
"Austria","1979","Not applicable","Not applicable","Percent","5.09046"
"Austria","1978","Not applicable","Not applicable","Percent","5.21336"
"Austria","1977","Not applicable","Not applicable","Percent","5.00544"
"Austria","1976","Not applicable","Not applicable","Percent","5.29204"
"Austria","1975","Not applicable","Not applicable","Percent","5.18119"
"Azerbaijan","2011","Not applicable","Not applicable","Percent","2.43564"
"Azerbaijan","2010","Not applicable","Not applicable","Percent","2.78062"
"Azerbaijan","2009","Not applicable","Not applicable","Percent","3.22431"
"Azerbaijan","2008","Not applicable","Not applicable","Percent","2.44093"
"Azerbaijan","2007","Not applicable","Not applicable","Percent","2.54928"
"Azerbaijan","2006","Not applicable","Not applicable","Percent","2.55551"
"Azerbaijan","2005","Not applicable","Not applicable","Percent","2.97462"
"Azerbaijan","2004","Not applicable","Not applicable","Percent","3.44766"
"Azerbaijan","2003","Not applicable","Not applicable","Percent","3.28615"
"Azerbaijan","2002","Not applicable","Not applicable","Percent","3.15449"
"Azerbaijan","2001","Not applicable","Not applicable","Percent","3.50342"
"Azerbaijan","2000","Not applicable","Not applicable","Percent","3.85399"
"Azerbaijan","1999","Not applicable","Not applicable","Percent","4.21217"
"Azerbaijan","1998","Not applicable","Not applicable","Percent","3.38"
"Azerbaijan","1996","Not applicable","Not applicable","Percent","3.51252"
"Azerbaijan","1995","Not applicable","Not applicable","Percent","3.33737"
"Azerbaijan","1992","Not applicable","Not applicable","Percent","6.05797"
"Bahamas","2000","Not applicable","Not applicable","Percent","2.84999"
"Bahrain","2012","Not applicable","Not applicable","Percent","2.67906"
"Bahrain","2008","Not applicable","Not applicable","Percent","2.49678"
"Bahrain","2007","Not applicable","Not applicable","Percent","2.575"
"Bahrain","2006","Not applicable","Not applicable","Percent","2.87441"
"Bangladesh","2009","Not applicable","Not applicable","Percent","2.23384"
"Bangladesh","2008","Not applicable","Not applicable","Percent","2.3908"
"Bangladesh","2007","Not applicable","Not applicable","Percent","2.55506"
"Bangladesh","2006","Not applicable","Not applicable","Percent","2.45536"
"Bangladesh","2004","Not applicable","Not applicable","Percent","2.24829"
"Bangladesh","2003","Not applicable","Not applicable","Percent","2.38055"
"Bangladesh","2002","Not applicable","Not applicable","Percent","2.3178"
"Bangladesh","2001","Not applicable","Not applicable","Percent","2.45975"
"Bangladesh","2000","Not applicable","Not applicable","Percent","2.38442"
"Bangladesh","1999","Not applicable","Not applicable","Percent","2.41787"
"Bangladesh","1997","Not applicable","Not applicable","Percent","2.22962"
"Bangladesh","1993","Not applicable","Not applicable","Percent","1.69262"
"Bangladesh","1992","Not applicable","Not applicable","Percent","1.63177"
"Bangladesh","1991","Not applicable","Not applicable","Percent","1.47724"
"Bangladesh","1990","Not applicable","Not applicable","Percent","1.57591"
"Bangladesh","1987","Not applicable","Not applicable","Percent","1.56276"
"Bangladesh","1986","Not applicable","Not applicable","Percent","1.38484"
"Bangladesh","1985","Not applicable","Not applicable","Percent","1.22767"
"Bangladesh","1984","Not applicable","Not applicable","Percent","1.25323"
"Bangladesh","1983","Not applicable","Not applicable","Percent","1.05982"
"Bangladesh","1982","Not applicable","Not applicable","Percent","1.0391"
"Bangladesh","1981","Not applicable","Not applicable","Percent","1.0715"
"Bangladesh","1980","Not applicable","Not applicable","Percent","0.9376"
"Bangladesh","1979","Not applicable","Not applicable","Percent","1.13093"
"Barbados","2012","Not applicable","Not applicable","Percent","5.61038"
"Barbados","2010","Not applicable","Not applicable","Percent","5.88678"
"Barbados","2009","Not applicable","Not applicable","Percent","5.39043"
"Barbados","2008","Not applicable","Not applicable","Percent","5.09793"
"Barbados","2007","Not applicable","Not applicable","Percent","5.10356"
"Barbados","2005","Not applicable","Not applicable","Percent","5.56433"
"Barbados","2004","Not applicable","Not applicable","Percent","5.91066"
"Barbados","2003","Not applicable","Not applicable","Percent","6.1233"
"Barbados","2002","Not applicable","Not applicable","Percent","5.77131"
"Barbados","2001","Not applicable","Not applicable","Percent","5.9389"
"Barbados","2000","Not applicable","Not applicable","Percent","4.62159"
"Barbados","1999","Not applicable","Not applicable","Percent","4.25458"
"Barbados","1991","Not applicable","Not applicable","Percent","6.60199"
"Barbados","1977","Not applicable","Not applicable","Percent","6.51775"
"Barbados","1976","Not applicable","Not applicable","Percent","5.9451"
"Belarus","2012","Not applicable","Not applicable","Percent","5.12106"
"Belarus","2011","Not applicable","Not applicable","Percent","4.84382"
"Belarus","2010","Not applicable","Not applicable","Percent","5.41013"
"Belarus","2009","Not applicable","Not applicable","Percent","4.51672"
"Belarus","2007","Not applicable","Not applicable","Percent","5.1521"
"Belarus","2006","Not applicable","Not applicable","Percent","6.07696"
"Belarus","2005","Not applicable","Not applicable","Percent","5.87103"
"Belarus","2004","Not applicable","Not applicable","Percent","5.71226"
"Belarus","2000","Not applicable","Not applicable","Percent","6.19662"
"Belarus","1999","Not applicable","Not applicable","Percent","6.00001"
"Belarus","1996","Not applicable","Not applicable","Percent","5.00524"
"Belarus","1995","Not applicable","Not applicable","Percent","5.46168"
"Belgium","2011","Not applicable","Not applicable","Percent","6.54886"
"Belgium","2010","Not applicable","Not applicable","Percent","6.57566"
"Belgium","2009","Not applicable","Not applicable","Percent","6.56812"
"Belgium","2008","Not applicable","Not applicable","Percent","6.43109"
"Belgium","2007","Not applicable","Not applicable","Percent","6.00401"
"Belgium","2006","Not applicable","Not applicable","Percent","5.98384"
"Belgium","2005","Not applicable","Not applicable","Percent","5.92197"
"Belgium","2004","Not applicable","Not applicable","Percent","5.95495"
"Belgium","2003","Not applicable","Not applicable","Percent","6.02286"
"Belgium","2002","Not applicable","Not applicable","Percent","6.09005"
"Belgium","2001","Not applicable","Not applicable","Percent","5.9779"
"Belgium","1996","Not applicable","Not applicable","Percent","3.08713"
"Belgium","1995","Not applicable","Not applicable","Percent","3.02548"
"Belgium","1994","Not applicable","Not applicable","Percent","5.47772"
"Belgium","1993","Not applicable","Not applicable","Percent","5.43851"
"Belgium","1988","Not applicable","Not applicable","Percent","4.35372"
"Belgium","1987","Not applicable","Not applicable","Percent","4.63353"
"Belgium","1986","Not applicable","Not applicable","Percent","4.91208"
"Belgium","1982","Not applicable","Not applicable","Percent","5.38224"
"Belgium","1981","Not applicable","Not applicable","Percent","5.50229"
"Belgium","1980","Not applicable","Not applicable","Percent","5.37608"
"Belgium","1979","Not applicable","Not applicable","Percent","5.44664"
"Belgium","1978","Not applicable","Not applicable","Percent","5.50333"
"Belgium","1977","Not applicable","Not applicable","Percent","6.06262"
"Belgium","1976","Not applicable","Not applicable","Percent","5.80166"
"Belgium","1975","Not applicable","Not applicable","Percent","5.83383"
"Belize","2010","Not applicable","Not applicable","Percent","6.61337"
"Belize","2009","Not applicable","Not applicable","Percent","6.09624"
"Belize","2008","Not applicable","Not applicable","Percent","5.68808"
"Belize","2004","Not applicable","Not applicable","Percent","5.2994"
"Belize","2003","Not applicable","Not applicable","Percent","5.20613"
"Belize","2002","Not applicable","Not applicable","Percent","5.5395"
"Belize","2001","Not applicable","Not applicable","Percent","5.79918"
"Belize","2000","Not applicable","Not applicable","Percent","5.02928"
"Belize","1999","Not applicable","Not applicable","Percent","5.44439"
"Benin","2010","Not applicable","Not applicable","Percent","5.34512"
"Benin","2009","Not applicable","Not applicable","Percent","4.55035"
"Benin","2008","Not applicable","Not applicable","Percent","4.08132"
"Benin","2007","Not applicable","Not applicable","Percent","3.50154"
"Benin","2006","Not applicable","Not applicable","Percent","3.82888"
"Benin","2005","Not applicable","Not applicable","Percent","4.00211"
"Benin","2004","Not applicable","Not applicable","Percent","3.91554"
"Benin","2003","Not applicable","Not applicable","Percent","3.42565"
"Benin","2002","Not applicable","Not applicable","Percent","3.21089"
"Benin","2001","Not applicable","Not applicable","Percent","3.46637"
"Benin","2000","Not applicable","Not applicable","Percent","3.14591"
"Benin","1999","Not applicable","Not applicable","Percent","2.83867"
"Benin","1998","Not applicable","Not applicable","Percent","2.74789"
"Bermuda","2010","Not applicable","Not applicable","Percent","2.64421"
"Bermuda","2009","Not applicable","Not applicable","Percent","2.61519"
"Bermuda","2005","Not applicable","Not applicable","Percent","1.98877"
"Bermuda","2004","Not applicable","Not applicable","Percent","1.77588"
"Bermuda","2003","Not applicable","Not applicable","Percent","1.66627"
"Bermuda","1998","Not applicable","Not applicable","Percent","2.15227"
"Bermuda","1992","Not applicable","Not applicable","Percent","3.47605"
"Bermuda","1991","Not applicable","Not applicable","Percent","3.15065"
"Bermuda","1990","Not applicable","Not applicable","Percent","3.1362"
"Bermuda","1985","Not applicable","Not applicable","Percent","3.03449"
"Bermuda","1975","Not applicable","Not applicable","Percent","3.43442"
"Bhutan","2013","Not applicable","Not applicable","Percent","5.47714"
"Bhutan","2011","Not applicable","Not applicable","Percent","4.65258"
"Bhutan","2010","Not applicable","Not applicable","Percent","4.02447"
"Bhutan","2009","Not applicable","Not applicable","Percent","4.62672"
"Bhutan","2008","Not applicable","Not applicable","Percent","4.7975"
"Bhutan","2005","Not applicable","Not applicable","Percent","7.0781"
"Bhutan","2004","Not applicable","Not applicable","Percent","6.41799"
"Bhutan","2001","Not applicable","Not applicable","Percent","5.7178"
"Bhutan","2000","Not applicable","Not applicable","Percent","5.51379"
"Bolivia","2012","Not applicable","Not applicable","Percent","6.43691"
"Bolivia","2011","Not applicable","Not applicable","Percent","6.89264"
"Bolivia","2010","Not applicable","Not applicable","Percent","7.60011"
"Bolivia","2009","Not applicable","Not applicable","Percent","8.0812"
"Bolivia","2008","Not applicable","Not applicable","Percent","7.03973"
"Bolivia","2006","Not applicable","Not applicable","Percent","6.31361"
"Bolivia","2003","Not applicable","Not applicable","Percent","6.37904"
"Bolivia","2002","Not applicable","Not applicable","Percent","6.23031"
"Bolivia","2001","Not applicable","Not applicable","Percent","5.89946"
"Bolivia","2000","Not applicable","Not applicable","Percent","5.47342"
"Bolivia","1999","Not applicable","Not applicable","Percent","5.65932"
"Bolivia","1998","Not applicable","Not applicable","Percent","5.52301"
"Bolivia","1996","Not applicable","Not applicable","Percent","4.65741"
"Bolivia","1995","Not applicable","Not applicable","Percent","5.60817"
"Bolivia","1994","Not applicable","Not applicable","Percent","4.78421"
"Botswana","2009","Not applicable","Not applicable","Percent","9.48738"
"Botswana","2007","Not applicable","Not applicable","Percent","8.85149"
"Botswana","2005","Not applicable","Not applicable","Percent","10.67859"
"Botswana","1992","Not applicable","Not applicable","Percent","6.84061"
"Botswana","1990","Not applicable","Not applicable","Percent","5.73963"
"Botswana","1988","Not applicable","Not applicable","Percent","6.15111"
"Botswana","1987","Not applicable","Not applicable","Percent","6.11773"
"Botswana","1986","Not applicable","Not applicable","Percent","5.18593"
"Botswana","1985","Not applicable","Not applicable","Percent","5.65072"
"Botswana","1984","Not applicable","Not applicable","Percent","5.55166"
"Botswana","1983","Not applicable","Not applicable","Percent","5.55227"
"Botswana","1980","Not applicable","Not applicable","Percent","5.46932"
"Botswana","1979","Not applicable","Not applicable","Percent","6.14173"
"Botswana","1978","Not applicable","Not applicable","Percent","5.95214"
"Botswana","1977","Not applicable","Not applicable","Percent","5.40031"
"Botswana","1976","Not applicable","Not applicable","Percent","6.06396"
"Botswana","1975","Not applicable","Not applicable","Percent","5.64943"
"Brazil","2010","Not applicable","Not applicable","Percent","5.82225"
"Brazil","2009","Not applicable","Not applicable","Percent","5.62147"
"Brazil","2008","Not applicable","Not applicable","Percent","5.40368"
"Brazil","2007","Not applicable","Not applicable","Percent","5.08439"
"Brazil","2006","Not applicable","Not applicable","Percent","4.95275"
"Brazil","2005","Not applicable","Not applicable","Percent","4.52778"
"Brazil","2004","Not applicable","Not applicable","Percent","4.00775"
"Brazil","2002","Not applicable","Not applicable","Percent","3.7782"
"Brazil","2001","Not applicable","Not applicable","Percent","3.88489"
"Brazil","2000","Not applicable","Not applicable","Percent","4.01458"
"Brazil","1999","Not applicable","Not applicable","Percent","3.88167"
"Brazil","1998","Not applicable","Not applicable","Percent","4.86875"
"Brazil","1995","Not applicable","Not applicable","Percent","4.57043"
"British Virgin Islands","2010","Not applicable","Not applicable","Percent","4.35896"
"British Virgin Islands","2009","Not applicable","Not applicable","Percent","3.96987"
"British Virgin Islands","2007","Not applicable","Not applicable","Percent","3.59943"
"Brunei Darussalam","2014","Not applicable","Not applicable","Percent","3.76595"
"Brunei Darussalam","2013","Not applicable","Not applicable","Percent","3.45082"
"Brunei Darussalam","2012","Not applicable","Not applicable","Percent","3.20704"
"Brunei Darussalam","2011","Not applicable","Not applicable","Percent","3.68108"
"Brunei Darussalam","2010","Not applicable","Not applicable","Percent","2.04661"
"Brunei Darussalam","2000","Not applicable","Not applicable","Percent","3.70591"
"Brunei Darussalam","1999","Not applicable","Not applicable","Percent","4.93205"
"Brunei Darussalam","1998","Not applicable","Not applicable","Percent","5.25395"
"Brunei Darussalam","1993","Not applicable","Not applicable","Percent","4.29403"
"Brunei Darussalam","1992","Not applicable","Not applicable","Percent","3.74769"
"Brunei Darussalam","1991","Not applicable","Not applicable","Percent","3.66894"
"Brunei Darussalam","1990","Not applicable","Not applicable","Percent","3.95996"
"Brunei Darussalam","1989","Not applicable","Not applicable","Percent","4.69012"
"Brunei Darussalam","1988","Not applicable","Not applicable","Percent","5.40903"
"Brunei Darussalam","1987","Not applicable","Not applicable","Percent","4.73773"
"Brunei Darussalam","1982","Not applicable","Not applicable","Percent","1.69715"
"Brunei Darussalam","1981","Not applicable","Not applicable","Percent","1.61678"
"Brunei Darussalam","1980","Not applicable","Not applicable","Percent","1.19108"
"Brunei Darussalam","1979","Not applicable","Not applicable","Percent","1.54552"
"Brunei Darussalam","1978","Not applicable","Not applicable","Percent","2.11424"
"Brunei Darussalam","1976","Not applicable","Not applicable","Percent","1.97008"
"Brunei Darussalam","1975","Not applicable","Not applicable","Percent","1.96134"
"Bulgaria","2011","Not applicable","Not applicable","Percent","3.82093"
"Bulgaria","2010","Not applicable","Not applicable","Percent","4.09688"
"Bulgaria","2009","Not applicable","Not applicable","Percent","4.57833"
"Bulgaria","2008","Not applicable","Not applicable","Percent","4.43535"
"Bulgaria","2007","Not applicable","Not applicable","Percent","3.88274"
"Bulgaria","2006","Not applicable","Not applicable","Percent","4.04106"
"Bulgaria","2005","Not applicable","Not applicable","Percent","4.24733"
"Bulgaria","2004","Not applicable","Not applicable","Percent","2.4002"
"Bulgaria","2003","Not applicable","Not applicable","Percent","4.09069"
"Bulgaria","2002","Not applicable","Not applicable","Percent","3.47586"
"Bulgaria","2001","Not applicable","Not applicable","Percent","3.46106"
"Bulgaria","1998","Not applicable","Not applicable","Percent","3.15268"
"Bulgaria","1996","Not applicable","Not applicable","Percent","3.08419"
"Bulgaria","1995","Not applicable","Not applicable","Percent","3.44701"
"Bulgaria","1994","Not applicable","Not applicable","Percent","4.17066"
"Bulgaria","1993","Not applicable","Not applicable","Percent","4.95049"
"Bulgaria","1992","Not applicable","Not applicable","Percent","5.26046"
"Bulgaria","1991","Not applicable","Not applicable","Percent","5.42962"
"Bulgaria","1990","Not applicable","Not applicable","Percent","4.45406"
"Bulgaria","1980","Not applicable","Not applicable","Percent","3.52948"
"Burkina Faso","2011","Not applicable","Not applicable","Percent","3.42701"
"Burkina Faso","2010","Not applicable","Not applicable","Percent","3.84087"
"Burkina Faso","2007","Not applicable","Not applicable","Percent","4.59907"
"Burkina Faso","2006","Not applicable","Not applicable","Percent","4.45703"
"Burkina Faso","2005","Not applicable","Not applicable","Percent","4.4326"
"Burkina Faso","1996","Not applicable","Not applicable","Percent","1.44026"
"Burkina Faso","1994","Not applicable","Not applicable","Percent","3.4511"
"Burkina Faso","1988","Not applicable","Not applicable","Percent","1.42608"
"Burkina Faso","1985","Not applicable","Not applicable","Percent","1.76396"
"Burkina Faso","1983","Not applicable","Not applicable","Percent","1.75448"
"Burkina Faso","1980","Not applicable","Not applicable","Percent","1.9618"
"Burkina Faso","1978","Not applicable","Not applicable","Percent","1.67983"
"Burundi","2012","Not applicable","Not applicable","Percent","5.82091"
"Burundi","2011","Not applicable","Not applicable","Percent","5.99779"
"Burundi","2010","Not applicable","Not applicable","Percent","6.79287"
"Burundi","2009","Not applicable","Not applicable","Percent","6.31979"
"Burundi","2008","Not applicable","Not applicable","Percent","5.19355"
"Burundi","2005","Not applicable","Not applicable","Percent","3.63169"
"Burundi","2004","Not applicable","Not applicable","Percent","3.74496"
"Burundi","2002","Not applicable","Not applicable","Percent","3.00493"
"Burundi","2001","Not applicable","Not applicable","Percent","2.90391"
"Burundi","2000","Not applicable","Not applicable","Percent","2.64548"
"Burundi","1999","Not applicable","Not applicable","Percent","3.41745"
"Burundi","1996","Not applicable","Not applicable","Percent","4.08324"
"Burundi","1995","Not applicable","Not applicable","Percent","5.01511"
"Burundi","1994","Not applicable","Not applicable","Percent","4.56527"
"Burundi","1992","Not applicable","Not applicable","Percent","3.80585"
"Burundi","1991","Not applicable","Not applicable","Percent","3.49366"
"Burundi","1990","Not applicable","Not applicable","Percent","3.35933"
"Burundi","1981","Not applicable","Not applicable","Percent","3.34676"
"Burundi","1979","Not applicable","Not applicable","Percent","2.80336"
"Cambodia","2010","Not applicable","Not applicable","Percent","2.60388"
"Cambodia","2007","Not applicable","Not applicable","Percent","1.5993"
"Cambodia","2004","Not applicable","Not applicable","Percent","1.71982"
"Cambodia","2002","Not applicable","Not applicable","Percent","1.71121"
"Cambodia","2001","Not applicable","Not applicable","Percent","1.72403"
"Cambodia","2000","Not applicable","Not applicable","Percent","1.66681"
"Cambodia","1999","Not applicable","Not applicable","Percent","0.9681"
"Cambodia","1998","Not applicable","Not applicable","Percent","1.25907"
"Cameroon","2012","Not applicable","Not applicable","Percent","2.96533"
"Cameroon","2011","Not applicable","Not applicable","Percent","3.18472"
"Cameroon","2010","Not applicable","Not applicable","Percent","3.47951"
"Cameroon","2009","Not applicable","Not applicable","Percent","3.64993"
"Cameroon","2008","Not applicable","Not applicable","Percent","2.90538"
"Cameroon","2007","Not applicable","Not applicable","Percent","3.36625"
"Cameroon","2006","Not applicable","Not applicable","Percent","2.95568"
"Cameroon","2005","Not applicable","Not applicable","Percent","3.12322"
